no,tanggal,bulan,hari,keterangan,sumber_info,waktu_info,kelurahan,kecamatan,wilayah,objek_awal,jenis_bangunan,penyebab,korban_jiwa,kerugian
803,24,5,Jumat,Bencana Kebakaran,Petugas Instansi Lain,8:50,Depok,Depok,Kota Depok,Mobil,,Listrik,,100000000
804,25,5,Sabtu,Bencana Kebakaran,Masyarakat,3:15,Ciganjur,Jagakarsa,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Lain,1,200000000
805,25,5,Sabtu,Bencana Kebakaran,Masyarakat,7:45,Kampung Tengah,Kramat Jati,Kota Administrasi Jakarta Timur,Kios,Bangunan Rendah,Listrik,0,10000000
807,25,5,Sabtu,Bencana Kebakaran,Masyarakat,21:00,Pasar minggu,Pasar Minggu,Kota Administrasi Jakarta Selatan,Kabel udara PLN,,Listrik,0,2500000
808,25,5,Sabtu,Bencana Kebakaran,Petugas Pemadam,23:25,Jelambar Baru,Grogol Petamburan,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Lain,1,90000000
809,27,5,Senin,Bencana Kebakaran,Masyarakat,7:30,Kembangan Selatan,Kembangan,Kota Administrasi Jakarta Barat,Mobil Angkot,,Listrik,0,40000000
810,27,5,Senin,Bencana Kebakaran,Masyarakat,16:50,Pademangan Timur,Pademangan,Kota Administrasi Jakarta Utara,Gardu Listrik,Bangunan Rendah,Listrik,0,1000000
812,28,5,Selasa,Bencana Kebakaran,Masyarakat,1:50,Kalibata,Pancoran,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,3,5000000
813,28,5,Selasa,Bencana Kebakaran,Masyarakat,1:30,Maphar,Tamansari,Kota Administrasi Jakarta Barat,Gedung,Bangunan Menengah,Lain,0,400000000
814,28,5,Selasa,Bencana Kebakaran,Masyarakat,11:30,Pegangsaan Dua,Kelapa Gading,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Kompor,5,200000000
815,28,5,Selasa,Bencana Kebakaran,Masyarakat,17:15,Rawa Terate,Cakung,Kota Administrasi Jakarta Timur,Panel Listrik,,Listrik,0,50000000
816,28,5,Selasa,Bencana Kebakaran,Masyarakat,14:42,Cempaka Putih Barat,Cempaka Putih,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,15,200000000
817,28,5,Selasa,Bencana Kebakaran,Petugas Instansi Lain,23:25,Kembangan utara,Kembangan,Kota Administrasi Jakarta Barat,Mobil Xenia,,Listrik,0,70000000
818,29,5,Rabu,Bencana Kebakaran,Masyarakat,5:30,Menteng Dalam,Tebet,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,4,1200000000
820,29,5,Rabu,Bencana Kebakaran,Masyarakat,19:15,Pondok Pinang,Kebayoran Lama,Kota Administrasi Jakarta Selatan,Gardu Listrik,Bangunan Rendah,Listrik,0,10000000
821,29,5,Rabu,Bencana Kebakaran,Masyarakat,20:25,Petukangan Selatan,Pesanggrahan,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Lain,5,80000000
824,30,5,Kamis,Bencana Kebakaran,Masyarakat,6:40,Semper timur,Cilincing,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,29,700000000
825,30,5,Kamis,Bencana Kebakaran,Masyarakat,20:45,Menteng Atas,Setiabudi,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,40,800000000
828,31,5,Jumat,Bencana Kebakaran,Petugas Instansi Lain,10:40,Pondok Pinang,Kebayoran Lama,Kota Administrasi Jakarta Selatan,Kabel PLN,,Listrik,0,75000000
829,1,6,Sabtu,Bencana Kebakaran,Masyarakat,3:55,Rawamangun,Pulogadung,Kota Administrasi Jakarta Timur,Mobil Avanza,,Listrik,0,100000000
830,1,6,Sabtu,Bencana Kebakaran,Masyarakat,7:44,Cipete Utara,Kebayoran Baru,Kota Administrasi Jakarta Selatan,Kantor Pemasaran Kemang Village,,Listrik,0,5000000
831,1,6,Sabtu,Bencana Kebakaran,Masyarakat,15:30,Bukit Duri,Tebet,Kota Administrasi Jakarta Selatan,Mobil Daihatsu Espass,,Listrik,0,40000000
832,1,6,Sabtu,Bencana Kebakaran,Petugas Instansi Lain,21:30,TANJUNG BARAT,Jagakarsa,Kota Administrasi Jakarta Selatan,MOBIL HONDA STREAM,,Listrik,0,5000000
833,1,6,Sabtu,Bencana Kebakaran,Petugas Instansi Lain,22:20,Cilandak Barat,Cilandak,Kota Administrasi Jakarta Selatan,Dapur Hotel Kristal Lt. 6,Bangunan Menengah,Listrik,0,10000000
834,1,6,Sabtu,Bencana Kebakaran,Petugas Instansi Lain,17:15,Sukabumi selatan,Kebun Jeruk,Kota Administrasi Jakarta Barat,Gudang Kios Plastik,Bangunan Menengah,Listrik,0,500000000
835,2,6,Minggu,Bencana Kebakaran,Petugas Instansi Lain,1:30,Jelambar Baru,Grogol Petamburan,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Menengah,Listrik,4,400000000
837,3,6,Senin,Bencana Kebakaran,Petugas Instansi Lain,2:00,Kedoya Selatan,Kebun Jeruk,Kota Administrasi Jakarta Barat,Kantor PT. Bola Baja,Bangunan Menengah,Listrik,0,400000000
838,3,6,Senin,Bencana Kebakaran,Masyarakat,21:20,Pondok Pinang,Kebayoran Lama,Kota Administrasi Jakarta Selatan,Mobil Honda Jazz,,Listrik,0,100000000
839,3,6,Senin,Bencana Kebakaran,Petugas Instansi Lain,21:55,Pinang Ranti,Makasar,Kota Administrasi Jakarta Timur,Trans Jakarta,,Listrik,0,20000000
840,3,6,Senin,Bencana Kebakaran,Masyarakat,9:45,Cempaka Putih Timur,Cempaka Putih,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,12,100000000
841,4,6,Selasa,Bencana Kebakaran,Masyarakat,10:40,Tambora,Tambora,Kota Administrasi Jakarta Barat,Warung Makan,Bangunan Rendah,Kompor,0,5000000
844,5,6,Rabu,Bencana Kebakaran,Masyarakat,13:15,Malaka Jaya,Duren Sawit,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,5,7500000
845,5,6,Rabu,Bencana Kebakaran,Masyarakat,17:32,Duri Selatan,Tambora,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Rokok,3,3000000
846,6,6,Kamis,Bencana Kebakaran,Masyarakat,5:00,Penggilingan,Cakung,Kota Administrasi Jakarta Timur,Lapak Pemulung,Bangunan Rendah,Lain,8,150000000
847,7,6,Jumat,Bencana Kebakaran,Masyarakat,8:36,Cempaka Putih Timur,Cempaka Putih,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,4,100000000
849,7,6,Jumat,Bencana Kebakaran,Masyarakat,10:45,Selong,Kebayoran Baru,Kota Administrasi Jakarta Selatan,Kabel udara PLN,,Listrik,0,1000000
850,7,6,Jumat,Bencana Kebakaran,Petugas Instansi Lain,18:30,Pluit,Penjaringan,Kota Administrasi Jakarta Utara,Gudang,Bangunan Menengah,Listrik,0,2000000
851,7,6,Jumat,Bencana Kebakaran,Masyarakat,18:50,Penjaringan,Penjaringan,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,3,3000000
852,7,6,Jumat,Bencana Kebakaran,Masyarakat,22:15,Cengkareng Timur,Cengkareng,Kota Administrasi Jakarta Barat,Ruamah Tinggal (Kontrakan),Bangunan Rendah,Listrik,9,200000000
853,8,6,Sabtu,Bencana Kebakaran,Masyarakat,4:05,Sunter Jaya,Tanjung Priok,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,10,50000000
855,8,6,Sabtu,Bencana Kebakaran,Petugas Instansi Lain,23:07,Gondangdia,Menteng,Kota Administrasi Jakarta Pusat,Toko Roti The Harvest,Bangunan Menengah,Listrik,0,50000000
857,10,6,Senin,Bencana Kebakaran,Masyarakat,5:25,Cipedak,Jagakarsa,Kota Administrasi Jakarta Selatan,Kabel PLN,,Listrik,0,3000000
859,10,6,Senin,Bencana Kebakaran,Masyarakat,9:11,Kembangan utara,Kembangan,Kota Administrasi Jakarta Barat,Mobil Nisan B 1344 FA,,Listrik,0,80000000
860,10,6,Senin,Bencana Kebakaran,Masyarakat,12:10,Utan Panjang,Kemayoran,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,6,200000000
861,10,6,Senin,Bencana Kebakaran,Masyarakat,22:30,Pangadegan,Pancoran,Kota Administrasi Jakarta Selatan,Kabel udara PLN,,Listrik,0,1000000
862,11,6,Selasa,Bencana Kebakaran,Masyarakat,4:50,Cakung Timur,Cakung,Kota Administrasi Jakarta Timur,Lapak Pemukiman,Bangunan Rendah,Listrik,5,10000000
864,12,6,Rabu,Bencana Kebakaran,Masyarakat,4:15,Kalisari,Pasar Rebo,Kota Administrasi Jakarta Timur,Kantin SLTPN 203,Bangunan Rendah,Listrik,0,40000000
865,12,6,Rabu,Bencana Kebakaran,Masyarakat,18:25,Rawa Barat,Kebayoran Baru,Kota Administrasi Jakarta Selatan,Gardu PLN,Bangunan Rendah,Listrik,0,150000000
866,12,6,Rabu,Bencana Kebakaran,Masyarakat,19:20,Gandaria Selatan,Cilandak,Kota Administrasi Jakarta Selatan,Kabel udara PLN,,Listrik,0,1000000
868,13,6,Kamis,Bencana Kebakaran,Petugas Pemadam,9:10,Pekojan,Tambora,Kota Administrasi Jakarta Barat,Tandon Air,Bangunan Rendah,Listrik,20,2100000
869,14,6,Jumat,Bencana Kebakaran,Masyarakat,6:10,Cempaka Putih Timur,Cempaka Putih,Kota Administrasi Jakarta Pusat,Kabel udara PLN,Bangunan Rendah,Listrik,0,1000000
871,15,6,Sabtu,Bencana Kebakaran,Masyarakat,19:05,Kalideres,Kalideres,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,4,7000000
872,16,6,Minggu,Bencana Kebakaran,Masyarakat,0:45,Papanggo,Tanjung Priok,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,20,100000000
873,16,6,Minggu,Bencana Kebakaran,Petugas Pemadam,7:55,Sungai bambu,Tanjung Priok,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,11,40000000
874,16,6,Minggu,Bencana Kebakaran,Masyarakat,8:00,Pluit,Penjaringan,Kota Administrasi Jakarta Utara,Mobil Kijang B 2193 JHT,,Listrik,0,45000000
876,16,6,Minggu,Bencana pada Ketinggian (operasi penyelamatan Beda Ketinggian),Masyarakat,10:45,Marunda,Cilincing,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,5,10000000
877,16,6,Minggu,Bencana Kebakaran,Petugas Instansi Lain,14:20,Petojo Utara,Gambir,Kota Administrasi Jakarta Pusat,Bus Trans Jakarta,,Listrik,0,500000000
878,17,6,Senin,Bencana Kebakaran,Masyarakat,6:40,Mampang Prapatan,Mampang Prapatan,Kota Administrasi Jakarta Selatan,Dapur Hotel Amaris Lt.2,Bangunan Tinggi,Lain,0,50000000
881,17,6,Senin,Bencana Kebakaran,Masyarakat,22:15,Cibubur,Ciracas,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,4,200000000
883,18,6,Selasa,Bencana Kebakaran,Petugas Instansi Lain,10:30,Kedaung Kali Angke,Cengkareng,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Kompor,35,125000000
884,18,6,Selasa,Bencana Kebakaran,Petugas Instansi Lain,14:20,Makasar,Makasar,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,4,15000000
885,19,6,Rabu,Bencana Kebakaran,Masyarakat,16:45,Menteng Atas,Setiabudi,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,6,75000000
887,19,6,Rabu,Bencana Kebakaran,Masyarakat,14:45,Petojo Selatan,Gambir,Kota Administrasi Jakarta Pusat,Sepeda Motor,,Listrik,0,8000000
891,21,6,Jumat,Bencana Kebakaran,Petugas Pemadam,2:30,Cilincing,Cilincing,Kota Administrasi Jakarta Utara,Mobil Metromini,,Listrik,0,100000000
896,22,6,Sabtu,Bencana Kebakaran,Masyarakat,13:30,Kebon Kosong,Kemayoran,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,5,150000000
897,22,6,Sabtu,Bencana Kebakaran,Petugas Instansi Lain,14:45,Kramat,Senen,Kota Administrasi Jakarta Pusat,Mobil,,Listrik,0,40000000
898,23,6,Minggu,Bencana Kebakaran,Masyarakat,0:15,Cipedak,Jagakarsa,Kota Administrasi Jakarta Selatan,gudang rumah tinggal,Bangunan Rendah,Listrik,4,20000000
899,23,6,Minggu,Bencana Kebakaran,Masyarakat,4:35,Pulo Gebang,Cakung,Kota Administrasi Jakarta Timur,Mobil Nissan Grand Livina B 1151 TKU,,Lain,0,200000000
901,24,6,Senin,Bencana Kebakaran,Petugas Instansi Lain,2:05,Cengkareng Barat,Cengkareng,Kota Administrasi Jakarta Barat,Kios Kaki Lima,Bangunan Rendah,Listrik,0,50000000
902,24,6,Senin,Bencana Kebakaran,Masyarakat,8:30,Karang Anyar,Sawah Besar,Kota Administrasi Jakarta Pusat,Rumah Tingggal,Bangunan Rendah,Listrik,0,1000000
903,24,6,Senin,Bencana Kebakaran,Masyarakat,16:00,Penjaringan,Penjaringan,Kota Administrasi Jakarta Utara,Ruko,Bangunan Menengah,Listrik,0,50000000
904,24,6,Senin,Bencana Kebakaran,Masyarakat,17:05,Tebet timur,Tebet,Kota Administrasi Jakarta Selatan,Rumah tinggal,Bangunan Rendah,Listrik,6,1000000
905,24,6,Senin,Bencana Kebakaran,Masyarakat,23:30,Jagakarsa,Jagakarsa,Kota Administrasi Jakarta Selatan,Kabel udara PLN,,Listrik,0,2000000
906,25,6,Selasa,Bencana Kebakaran,Masyarakat,1:40,kebayoran lama selatan,Kebayoran Lama,Kota Administrasi Jakarta Selatan,Bangunan Umum,,Lain,0,5000000
907,25,6,Selasa,Bencana Kebakaran,Masyarakat,2:40,Tegal Alur,Kalideres,Kota Administrasi Jakarta Barat,Rumah tinggal,Bangunan Rendah,Listrik,6,50000000
908,25,6,Selasa,Bencana Kebakaran,Masyarakat,7:00,Ciracas,Ciracas,Kota Administrasi Jakarta Timur,Rumah Kontrakan,Bangunan Rendah,Kompor,4,5000000
909,25,6,Selasa,Bencana Kebakaran,Masyarakat,20:54,Ceger,Cipayung,Kota Administrasi Jakarta Timur,Kabel udara PLN,Bangunan Rendah,Listrik,0,1000000
910,26,6,Rabu,Bencana Kebakaran,Masyarakat,8:15,Pejagalan,Penjaringan,Kota Administrasi Jakarta Utara,Ruko,Bangunan Rendah,Listrik,8,1000000000
912,26,6,Rabu,Bencana Kebakaran,Petugas Pemadam,14:30,Tegal Alur,Kalideres,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,31,120000000
913,26,6,Rabu,Bencana Kebakaran,Masyarakat,22:00,Tebet timur,Tebet,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Menengah,Listrik,5,500000000
914,26,6,Rabu,Bencana Kebakaran,Masyarakat,22:45,Gunung Sahari Utara,Sawah Besar,Kota Administrasi Jakarta Pusat,Hotel Sheraton Media,Bangunan Tinggi,Listrik,0,200000000
918,27,6,Kamis,Bencana Kebakaran,Masyarakat,20:35,Pademangan Timur,Pademangan,Kota Administrasi Jakarta Utara,Ruko,Bangunan Rendah,Listrik,25,1000000000
920,28,6,Jumat,Bencana Kebakaran,Masyarakat,15:05,Pademangan Timur,Pademangan,Kota Administrasi Jakarta Utara,Gudang,Bangunan Rendah,Lain,0,2000000
922,28,6,Jumat,Bencana Kebakaran,Masyarakat,15:40,Palmerah,Palmerah,Kota Administrasi Jakarta Barat,Rumah Kontrakan,Bangunan Rendah,Listrik,8,350000000
923,29,6,Sabtu,Bencana Kebakaran,Masyarakat,0:15,Menteng Atas,Setiabudi,Kota Administrasi Jakarta Selatan,Rumah Tinggal (Dapur),Bangunan Rendah,Listrik,4,20000000
924,29,6,Sabtu,Bencana Kebakaran,Petugas Pemadam,14:25,Pekojan,Tambora,Kota Administrasi Jakarta Barat,Ruko,Bangunan Rendah,Listrik,2,500000000
925,29,6,Sabtu,Bencana Kebakaran,Masyarakat,20:40,Kelapa Gading Barat,Kelapa Gading,Kota Administrasi Jakarta Utara,Mall Of Indonesia,Bangunan Tinggi,Listrik,0,750000000
927,30,6,Minggu,Bencana Kebakaran,Masyarakat,9:40,Kamal Muara,Penjaringan,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,12,200000000
928,30,6,Minggu,Bencana Kebakaran,Masyarakat,12:00,KAlibaru,Cilincing,Kota Administrasi Jakarta Utara,Gudang Penyimpanan Kayu,Bangunan Rendah,Lain,0,200000000
936,1,7,Senin,Bencana Kebakaran,Masyarakat,20:05,Kali Anyar,Tambora,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,7,50000000
937,2,7,Selasa,Bencana Kebakaran,Petugas Instansi Lain,2:25,Grogol Utara,Kebayoran Lama,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,5,1000000000
938,2,7,Selasa,Bencana Kebakaran,Masyarakat,14:28,Krendang,Tambora,Kota Administrasi Jakarta Barat,Ruko 3 Lantai,Bangunan Rendah,Listrik,6,200000000
940,3,7,Rabu,Bencana Kebakaran,Masyarakat,4:20,Pulo Gebang,Cakung,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,5,200000000
941,3,7,Rabu,Bencana Kebakaran,Petugas Instansi Lain,18:50,Pulogadung,Pulogadung,Kota Administrasi Jakarta Timur,Rumah Kontrakan,Bangunan Rendah,Listrik,15,900000000
942,4,7,Kamis,Bencana Kebakaran,Petugas Instansi Lain,19:45,Cilandak Barat,Cilandak,Kota Administrasi Jakarta Selatan,Mobil Sedan,,Listrik,0,10000000
943,5,7,Jumat,Bencana Kebakaran,Petugas Pemadam,0:05,Kelapa Gading Barat,Kelapa Gading,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Kompor,3,3000000000
945,5,7,Jumat,Bencana Kebakaran,Petugas Instansi Lain,14:40,Rawa Badak Selatan,Koja,Kota Administrasi Jakarta Utara,Hotel Cempaka,Bangunan Rendah,Listrik,0,750000000
946,5,7,Jumat,Bencana Kebakaran,Masyarakat,16:55,Menteng Dalam,Tebet,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Kompor,2,3000000
947,6,7,Sabtu,Bencana Kebakaran,Masyarakat,3:05,Tanjung Priok,Tanjung Priok,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,15,850000000
948,6,7,Sabtu,Bencana Kebakaran,Masyarakat,12:00,Sukabumi selatan,Kebun Jeruk,Kota Administrasi Jakarta Barat,Ruamah Tinggal,Bangunan Rendah,Kompor,0,2000000
949,7,7,Minggu,Bencana Kebakaran,Masyarakat,5:30,Cikini,Menteng,Kota Administrasi Jakarta Pusat,AC di lantai 1,Bangunan Rendah,Listrik,0,180000000
950,7,7,Minggu,Bencana Kebakaran,Masyarakat,11:35,Marunda,Cilincing,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,0,100000000
951,7,7,Minggu,Bencana Kebakaran,Masyarakat,14:20,Kedoya Selatan,Kebun Jeruk,Kota Administrasi Jakarta Barat,Mobil Sedan,,Lain,0,20000000
952,7,7,Minggu,Bencana Kebakaran,Masyarakat,7:55,Petukangan Selatan,Pesanggrahan,Kota Administrasi Jakarta Selatan,Mobil Taksi,,Lain,0,75000000
953,8,7,Senin,Bencana Kebakaran,Masyarakat,11:40,Tegal Alur,Kalideres,Kota Administrasi Jakarta Barat,Gardu Listrik,Bangunan Rendah,Listrik,0,200000000
954,8,7,Senin,Bencana Kebakaran,Masyarakat,19:10,Pejagalan,Penjaringan,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,1,30000000
956,8,7,Senin,Bencana Kebakaran,Masyarakat,22:35,Kelapa Gading Barat,Kelapa Gading,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,0,20000000
957,9,7,Selasa,Bencana Kebakaran,Masyarakat,17:45,Tegal Alur,Kalideres,Kota Administrasi Jakarta Barat,Tangki dan serbuk kayu,,Lain,0,15000000
958,10,7,Rabu,Bencana Kebakaran,Petugas Instansi Lain,15:55,Tangerang,Tangerang,Kota Tangerang,Rumah Kontrakan,Bangunan Rendah,Listrik,12,150000000
959,10,7,Rabu,Bencana Kebakaran,Petugas Pemadam,11:35,Pejagalan,Penjaringan,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Kompor,5,6000000
960,10,7,Rabu,Bencana Kebakaran,Masyarakat,19:40,Pluit,Penjaringan,Kota Administrasi Jakarta Utara,Ruko,Bangunan Menengah,Listrik,7,300000000
961,10,7,Rabu,Bencana Kebakaran,Masyarakat,20:25,Kebayoran Lama Utara,Kebayoran Lama,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,28,276000000
962,11,7,Kamis,Bencana Kebakaran,Masyarakat,2:50,Malaka Sari,Duren Sawit,Kota Administrasi Jakarta Timur,Pos Ronda,Bangunan Rendah,Lain,0,1000000
964,11,7,Kamis,Bencana Kebakaran,Masyarakat,11:05,Kebon Bawang,Tanjung Priok,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,10,200000000
965,11,7,Kamis,Bencana Kebakaran,Masyarakat,12:25,Pulo,Kebayoran Baru,Kota Administrasi Jakarta Selatan,Ruko,Bangunan Menengah,Listrik,0,240000000
966,11,7,Kamis,Bencana Kebakaran,Masyarakat,12:30,Cempaka Putih Timur,Cempaka Putih,Kota Administrasi Jakarta Pusat,Mobil Pick Up,,Lain,0,200000000
967,11,7,Kamis,Bencana Kebakaran,Petugas Pemadam,14:40,Kebon Bawang,Tanjung Priok,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Listrik,2,30000000
968,11,7,Kamis,Bencana Kebakaran,Masyarakat,18:30,Kelapa Dua Wetan,Ciracas,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,4,2000000
969,11,7,Kamis,Bencana Kebakaran,Petugas Pemadam,23:10,Sukabumi Utara,Kebun Jeruk,Kota Administrasi Jakarta Barat,Kabel Tiang Listrik,Bangunan Rendah,Listrik,0,2500000
970,11,7,Kamis,Bencana Kebakaran,Petugas Pemadam,21:35,Kali Anyar,Tambora,Kota Administrasi Jakarta Barat,Kabel Tiang Listrik,Bangunan Rendah,Listrik,0,2500000
971,11,7,Kamis,Bencana Kebakaran,Masyarakat,19:10,Tomang,Grogol Petamburan,Kota Administrasi Jakarta Barat,Lampu Penerangan SPBU,Bangunan Rendah,Listrik,0,4000000
972,12,7,Jumat,Bencana Kebakaran,Petugas Instansi Lain,15:20,Tanah Sereal,Tambora,Kota Administrasi Jakarta Barat,Konveksi dan Sablon Berlantai 2,Bangunan Rendah,Listrik,8,400000000
974,13,7,Sabtu,Bencana Kebakaran,Masyarakat,13:05,Kelapa Dua Wetan,Ciracas,Kota Administrasi Jakarta Timur,Kabel udara PLN,,Lain,0,1000000
976,14,7,Minggu,Bencana Kebakaran,Petugas Pemadam,8:20,Rawa Terate,Cakung,Kota Administrasi Jakarta Timur,Cerobong Pipa GAS,,Lain,0,1000000
977,14,7,Minggu,Bencana Kebakaran,Petugas Pemadam,12:00,Cempaka Putih Timur,Cempaka Putih,Kota Administrasi Jakarta Pusat,Kantor Advokat,Bangunan Rendah,Listrik,0,150000000
978,14,7,Minggu,Bencana Kebakaran,Petugas Instansi Lain,13:50,Pisangan Baru,Matraman,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Lain,0,30000000
980,14,7,Minggu,Bencana Kebakaran,Petugas Pemadam,18:23,Johar Baru,Johar Baru,Kota Administrasi Jakarta Pusat,Gardu Listrik,,Listrik,0,1000000
981,15,7,Senin,Bencana Kebakaran,Masyarakat,23:35,Kemanggisan,Palmerah,Kota Administrasi Jakarta Barat,Kios Bakso,Bangunan Rendah,Kompor,0,7500000
982,16,7,Selasa,Bencana Kebakaran,Masyarakat,11:15,Bekasi,Bekasi,Kota Bekasi,Rumah Tinggal,Bangunan Rendah,Listrik,5,200000000
983,16,7,Selasa,Bencana Kebakaran,Petugas Instansi Lain,13:45,Pasar minggu,Pasar Minggu,Kota Administrasi Jakarta Selatan,Kabel udara PLN,Bangunan Rendah,Listrik,0,1000000
984,16,7,Selasa,Bencana Kebakaran,Masyarakat,20:10,Pekojan,Tambora,Kota Administrasi Jakarta Barat,Lapak Tumpukan Kardus,Bangunan Rendah,Lain,0,185000000
985,17,7,Rabu,Bencana Kebakaran,Masyarakat,13:00,Grogol Utara,Kebayoran Lama,Kota Administrasi Jakarta Selatan,Mobil,,Lain,0,142000000
986,17,7,Rabu,Bencana Bangunan Runtuh (operasi penyelamatan Collapse Structure).,Petugas Pemadam,14:44,Kali Anyar,Tambora,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Lain,0,125000000
989,18,7,Kamis,Bencana Kebakaran,Masyarakat,4:20,Jembatan Besi,Tambora,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,12,1500000
990,18,7,Kamis,Bencana Kebakaran,Masyarakat,3:25,Kelapa Gading Timur,Kelapa Gading,Kota Administrasi Jakarta Utara,Mobil,,Lain,0,110000000
991,18,7,Kamis,Bencana Kebakaran,Masyarakat,5:35,Cakung Timur,Cakung,Kota Administrasi Jakarta Timur,Gudang,Bangunan Rendah,Listrik,0,15000000
992,18,7,Kamis,Bencana Kebakaran,Masyarakat,10:55,Tugu Selatan,Koja,Kota Administrasi Jakarta Utara,Bengkel Motor,Bangunan Rendah,Listrik,0,25000000
994,18,7,Kamis,Bencana Kebakaran,Petugas Instansi Lain,19:25,Cengkareng Barat,Cengkareng,Kota Administrasi Jakarta Barat,Kabel PLN,,Listrik,0,3000000
995,18,7,Kamis,Bencana Kebakaran,Masyarakat,19:30,Mangga Besar,Tamansari,Kota Administrasi Jakarta Barat,Rumah Kontrakan,Bangunan Rendah,Listrik,0,5000000
996,19,7,Jumat,Bencana Kebakaran,Petugas Pemadam,14:45,Ciganjur,Jagakarsa,Kota Administrasi Jakarta Selatan,Rumah Tinggal,Bangunan Rendah,Listrik,4,300000000
997,19,7,Jumat,Bencana Kebakaran,Masyarakat,20:54,Cawang,Kramat Jati,Kota Administrasi Jakarta Timur,Bengkel Motor,Bangunan Rendah,Listrik,0,400000000
998,19,7,Jumat,Bencana Kebakaran,Masyarakat,23:50,Grogol,Grogol Petamburan,Kota Administrasi Jakarta Barat,Mobil Daihatsu Luxio,,Listrik,0,150000000
999,20,7,Sabtu,Bencana Kebakaran,Masyarakat,20:30,Kembangan Selatan,Kembangan,Kota Administrasi Jakarta Barat,D'Cost Restaurant,Bangunan Rendah,Lain,0,10000000
1001,22,7,Senin,Bencana Kebakaran,Masyarakat,2:15,Kebon Jeruk,Kebun Jeruk,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,3,5000000
1002,22,7,Senin,Bencana Kebakaran,Masyarakat,2:28,Jagakarsa,Jagakarsa,Kota Administrasi Jakarta Selatan,Kios Pancing,Bangunan Rendah,Listrik,0,7500000
